UNS #,Base,Grade Name,Li Min,Li Max,Be Min,Be Max,B Min,B Max,C Min,C Max,Na Min,Na Max,Mg Min,Mg Max,Al Min,Al Max,Si Min,Si Max,P Min,P Max,S Min,S Max,K Min,K Max,Ca Min,Ca Max,Sc Min,Sc Max,Ti Min,Ti Max,V Min,V Max,Cr Min,Cr Max,Mn Min,Mn Max,Fe Min,Fe Max,Co Min,Co Max,Ni Min,Ni Max,Cu Min,Cu Max,Zn Min,Zn Max,Ga Min,Ga Max,As Min,As Max,Se Min,Se Max,Sr Min,Sr Max,Y Min,Y Max,Zr Min,Zr Max,Nb Min,Nb Max,Mo Min,Mo Max,Ru Min,Ru Max,Rh Min,Rh Max,Pd Min,Pd Max,Ag Min,Ag Max,Cd Min,Cd Max,Sn Min,Sn Max,Sb Min,Sb Max,Hf Min,Hf Max,Ta Min,Ta Max,W Min,W Max,Re Min,Re Max,Pt Min,Pt Max,Au Min,Au Max,Hg Min,Hg Max,Pb Min,Pb Max,Bi Min,Bi Max,Te Min,Te Max
 ,Cobalt,Refract 80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0,1.21,9,20,0,100,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,Cobalt,Star J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34,0,2,0,3,0,100,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R31233,Cobalt,Ultimet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,0,0.03,0,0.02,0,0,0,0,0,0,0,0,0,0,23.5,27.5,0.1,1.5,1,5,0,100,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,Cobalt,Vic I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,33,39,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,Cobalt,Vic II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,31,37,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,Cobalt,WI-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,0,0,1,2.5,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C 17400,Copper,Be Cu,0,0,0.5,2.5,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.6,0,0.2,0,100,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 11000,Copper,CDA 110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 12200,Copper,CDA 122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 15100,Copper,CDA 151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
